,Epochs,mse_train,loss_physics_train,total_train,mse_valid,loss_physics_valid,total_valid
0,0.00e+00,7.03e-02,,7.03e-02,2.44e-02,,2.44e-02
1,1.00e+00,2.50e-02,,2.50e-02,1.15e-02,,1.15e-02
2,2.00e+00,2.12e-02,,2.12e-02,1.19e-02,,1.19e-02
3,3.00e+00,1.79e-02,,1.79e-02,1.22e-02,,1.22e-02
4,4.00e+00,1.75e-02,,1.75e-02,1.09e-02,,1.09e-02
5,5.00e+00,1.24e-02,,1.24e-02,7.00e-03,,7.00e-03
6,6.00e+00,8.71e-03,,8.71e-03,4.19e-03,,4.19e-03
7,7.00e+00,4.72e-03,,4.72e-03,3.53e-03,,3.53e-03
8,8.00e+00,2.71e-03,,2.71e-03,2.34e-03,,2.34e-03
9,9.00e+00,1.98e-03,,1.98e-03,2.08e-03,,2.08e-03
10,1.00e+01,6.69e-02,3.09e+00,3.16e+00,7.57e-02,3.11e+00,3.18e+00
11,1.10e+01,8.55e-02,3.21e+00,3.30e+00,8.38e-02,3.13e+00,3.22e+00
12,1.20e+01,9.46e-02,3.33e+00,3.43e+00,8.48e-02,3.32e+00,3.40e+00
13,1.30e+01,1.02e-01,3.43e+00,3.53e+00,7.91e-02,3.42e+00,3.50e+00
14,1.40e+01,1.06e-01,3.50e+00,3.61e+00,8.41e-02,3.51e+00,3.59e+00
15,1.50e+01,1.07e-01,3.44e+00,3.54e+00,8.91e-02,3.16e+00,3.25e+00
16,1.60e+01,9.99e-02,3.27e+00,3.37e+00,9.87e-02,3.00e+00,3.09e+00
17,1.70e+01,9.24e-02,3.04e+00,3.13e+00,8.66e-02,2.92e+00,3.00e+00
18,1.80e+01,8.71e-02,2.91e+00,3.00e+00,8.41e-02,2.88e+00,2.96e+00
19,1.90e+01,8.51e-02,2.85e+00,2.94e+00,8.27e-02,2.84e+00,2.93e+00
20,2.00e+01,8.50e-02,2.85e+00,2.94e+00,8.25e-02,2.85e+00,2.93e+00
21,2.10e+01,8.64e-02,2.89e+00,2.98e+00,8.35e-02,3.06e+00,3.15e+00
22,2.20e+01,9.07e-02,3.02e+00,3.11e+00,1.00e-01,2.98e+00,3.08e+00
23,2.30e+01,9.64e-02,3.12e+00,3.22e+00,9.68e-02,2.95e+00,3.05e+00
24,2.40e+01,9.96e-02,3.24e+00,3.34e+00,1.05e-01,3.16e+00,3.26e+00
25,2.50e+01,9.95e-02,3.20e+00,3.30e+00,1.03e-01,3.04e+00,3.14e+00
26,2.60e+01,9.49e-02,3.08e+00,3.18e+00,9.13e-02,2.97e+00,3.07e+00
27,2.70e+01,8.97e-02,2.98e+00,3.07e+00,8.77e-02,2.89e+00,2.97e+00
28,2.80e+01,8.63e-02,2.88e+00,2.96e+00,8.51e-02,2.84e+00,2.93e+00
29,2.90e+01,8.50e-02,2.84e+00,2.92e+00,8.25e-02,2.84e+00,2.92e+00
