,Epochs,mse_train,loss_physics_train,total_train,mse_valid,loss_physics_valid,total_valid
0,0.00e+00,6.24e-01,4.04e+00,4.66e+00,5.13e-01,2.07e+00,2.58e+00
1,1.00e+00,5.66e-01,2.31e+00,2.88e+00,4.95e-01,1.91e+00,2.40e+00
2,2.00e+00,5.56e-01,2.20e+00,2.76e+00,4.90e-01,2.14e+00,2.63e+00
3,3.00e+00,5.48e-01,2.12e+00,2.67e+00,5.00e-01,1.87e+00,2.37e+00
4,4.00e+00,5.46e-01,2.09e+00,2.64e+00,4.87e-01,1.88e+00,2.36e+00
5,5.00e+00,5.43e-01,2.00e+00,2.54e+00,4.74e-01,1.71e+00,2.18e+00
6,6.00e+00,5.36e-01,1.77e+00,2.30e+00,4.82e-01,1.37e+00,1.85e+00
7,7.00e+00,5.30e-01,1.49e+00,2.02e+00,4.78e-01,1.31e+00,1.78e+00
8,8.00e+00,5.28e-01,1.19e+00,1.71e+00,4.77e-01,9.65e-01,1.44e+00
9,9.00e+00,5.27e-01,1.02e+00,1.54e+00,4.77e-01,9.26e-01,1.40e+00
10,1.00e+01,5.28e-01,1.00e+00,1.53e+00,4.78e-01,9.26e-01,1.40e+00
11,1.10e+01,5.29e-01,1.10e+00,1.63e+00,4.81e-01,1.10e+00,1.58e+00
12,1.20e+01,5.30e-01,1.33e+00,1.86e+00,4.82e-01,1.21e+00,1.70e+00
13,1.30e+01,5.32e-01,1.56e+00,2.09e+00,4.83e-01,1.42e+00,1.90e+00
14,1.40e+01,5.33e-01,1.65e+00,2.18e+00,4.76e-01,1.39e+00,1.87e+00
